2026-03-04 22:37:21 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 22:37:21 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 22:37:21 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 22:37:21 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 22:37:23 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:37:23] "[36mGET / HTTP/1.1[0m" 304 -
2026-03-04 22:37:23 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:37:23] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 22:37:23 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:37:23] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 22:37:24 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:37:24] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 22:37:24 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:37:24] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:37:49 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:37:50 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:37:50 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:37:50] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:37:51 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:37:51] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:38:04 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:38:04] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:38:12 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:38:12] "GET /api/export/Weekly_Staff_Schedule.pdf HTTP/1.1" 200 -
2026-03-04 22:38:42 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:38:42] "[36mGET /api/export/Weekly_Staff_Schedule.pdf HTTP/1.1[0m" 304 -
2026-03-04 22:39:01 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:39:01] "GET /api/export/Weekly_Staff_Schedule.xlsx HTTP/1.1" 200 -
2026-03-04 22:39:47 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:39:47] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:39:52 | INFO | utility | need_for_staff.csv updated via UI.
2026-03-04 22:39:52 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:39:52] "POST /api/demand HTTP/1.1" 200 -
2026-03-04 22:39:59 | INFO | utility | need_for_staff.csv updated via UI.
2026-03-04 22:39:59 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:39:59] "POST /api/demand HTTP/1.1" 200 -
2026-03-04 22:40:08 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:40:09 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:40:09 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:40:09] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:40:09 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:40:09] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:41:25 | INFO | utility | need_for_staff.csv updated via UI.
2026-03-04 22:41:25 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:41:25] "POST /api/demand HTTP/1.1" 200 -
2026-03-04 22:41:31 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:41:31 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:41:31 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:41:31] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:41:32 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:41:32] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:48:01 | INFO | utility | === Application started (Flask mode) ===
2026-03-04 22:48:01 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 22:48:01 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 22:48:01 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 22:48:01 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 22:48:03 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:03] "GET / HTTP/1.1" 200 -
2026-03-04 22:48:03 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:03] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 22:48:03 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:03] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 22:48:03 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:03] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 22:48:04 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:04] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:48:08 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:08] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:48:11 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:48:12 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:48:12 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:12] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:48:12 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:12] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:48:24 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:48:24] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:49:06 | INFO | utility | === Application started (Flask mode) ===
2026-03-04 22:49:06 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 22:49:06 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 22:49:06 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 22:49:06 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 22:49:08 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:08] "[36mGET / HTTP/1.1[0m" 304 -
2026-03-04 22:49:08 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:08] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 22:49:08 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:08] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 22:49:09 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:09] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 22:49:09 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:09] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:49:17 | INFO | utility | need_for_staff.csv updated via UI.
2026-03-04 22:49:17 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:17] "POST /api/demand HTTP/1.1" 200 -
2026-03-04 22:49:20 | INFO | utility | need_for_staff.csv updated via UI.
2026-03-04 22:49:20 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:20] "POST /api/demand HTTP/1.1" 200 -
2026-03-04 22:49:23 | INFO | utility | Scheduler triggered via UI.
2026-03-04 22:49:25 | INFO | utility | Scheduler done. Total shortages: 0
2026-03-04 22:49:25 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:25] "POST /api/run HTTP/1.1" 200 -
2026-03-04 22:49:25 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:49:25] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:54:44 | INFO | utility | === Application started (Flask mode) ===
2026-03-04 22:54:44 | INFO | utility | StaffManager initialised — CSV files loaded.
2026-03-04 22:54:44 | INFO | utility | Flask bridge initialised. Starting web server...
2026-03-04 22:54:44 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-03-04 22:54:44 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-03-04 22:54:45 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:54:45] "[36mGET / HTTP/1.1[0m" 304 -
2026-03-04 22:54:45 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:54:45] "GET /api/staff HTTP/1.1" 200 -
2026-03-04 22:54:45 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:54:45] "GET /api/demand HTTP/1.1" 200 -
2026-03-04 22:54:46 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:54:46] "GET /api/schedule HTTP/1.1" 200 -
2026-03-04 22:54:46 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:54:46] "GET /api/shortage HTTP/1.1" 200 -
2026-03-04 22:55:20 | INFO | werkzeug | 127.0.0.1 - - [04/Mar/2026 22:55:20] "[33mGET /api/availability. HTTP/1.1[0m" 404 -
